"DataSet","Hidden Layers (M)","Activation Function","epochs","Learning rate","Regularization","Test Error"
"mnist",100,"softplus",10,0.01,0.1,0.0705
"mnist",100,"softplus",10,0.001,0.1,0.1002
"mnist",100,"softplus",20,0.01,0.1,0.0608
"mnist",100,"softplus",20,0.001,0.1,0.0902
"mnist",100,"tanh",10,0.01,0.1,0.0577
"mnist",100,"tanh",10,0.001,0.1,0.0883
"mnist",100,"tanh",20,0.01,0.1,0.0458
"mnist",100,"tanh",20,0.001,0.1,0.0815
"mnist",100,"cos",10,0.01,0.1,0.0454
"mnist",100,"cos",10,0.001,0.1,0.0921
"mnist",100,"cos",20,0.01,0.1,0.033
"mnist",100,"cos",20,0.001,0.1,0.0781
"mnist",200,"softplus",10,0.01,0.1,0.0687
"mnist",200,"softplus",10,0.001,0.1,0.0952
"mnist",200,"softplus",20,0.01,0.1,0.0591
"mnist",200,"softplus",20,0.001,0.1,0.0875
"mnist",200,"tanh",10,0.01,0.1,0.054
"mnist",200,"tanh",10,0.001,0.1,0.0843
"mnist",200,"tanh",20,0.01,0.1,0.0396
"mnist",200,"tanh",20,0.001,0.1,0.0789
"mnist",200,"cos",10,0.01,0.1,0.0368
"mnist",200,"cos",10,0.001,0.1,0.0868
"mnist",200,"cos",20,0.01,0.1,0.029
"mnist",200,"cos",20,0.001,0.1,0.0662
"mnist",300,"softplus",10,0.01,0.1,0.0692
"mnist",300,"softplus",10,0.001,0.1,0.0937
"mnist",300,"softplus",20,0.01,0.1,0.0566
"mnist",300,"softplus",20,0.001,0.1,0.0848
"mnist",300,"tanh",10,0.01,0.1,0.0516
"mnist",300,"tanh",10,0.001,0.1,0.0839
"mnist",300,"tanh",20,0.01,0.1,0.0369
"mnist",300,"tanh",20,0.001,0.1,0.0776
"mnist",300,"cos",10,0.01,0.1,0.0337
"mnist",300,"cos",10,0.001,0.1,0.074
"mnist",300,"cos",20,0.01,0.1,0.0261
"mnist",300,"cos",20,0.001,0.1,0.0596
"cifar",100,"softplus",10,0.01,0.1,0.5764
"cifar",100,"softplus",10,0.001,0.1,0.6024
"cifar",100,"softplus",20,0.01,0.1,0.5407
"cifar",100,"softplus",20,0.001,0.1,0.5877
"cifar",100,"tanh",10,0.01,0.1,0.564
"cifar",100,"tanh",10,0.001,0.1,0.5719
"cifar",100,"tanh",20,0.01,0.1,0.5708
"cifar",100,"tanh",20,0.001,0.1,0.5634
"cifar",100,"cos",10,0.01,0.1,0.5998
"cifar",100,"cos",10,0.001,0.1,0.566
"cifar",100,"cos",20,0.01,0.1,0.5591
"cifar",100,"cos",20,0.001,0.1,0.5545
"cifar",200,"softplus",10,0.01,0.1,0.5753
"cifar",200,"softplus",10,0.001,0.1,0.6059
"cifar",200,"softplus",20,0.01,0.1,0.5317
"cifar",200,"softplus",20,0.001,0.1,0.5812
"cifar",200,"tanh",10,0.01,0.1,0.5575
"cifar",200,"tanh",10,0.001,0.1,0.572
"cifar",200,"tanh",20,0.01,0.1,0.5317
"cifar",200,"tanh",20,0.001,0.1,0.5441
"cifar",200,"cos",10,0.01,0.1,0.624
"cifar",200,"cos",10,0.001,0.1,0.5701
"cifar",200,"cos",20,0.01,0.1,0.5448
"cifar",200,"cos",20,0.001,0.1,0.5318
"cifar",300,"softplus",10,0.01,0.1,0.5595
"cifar",300,"softplus",10,0.001,0.1,0.6201
"cifar",300,"softplus",20,0.01,0.1,0.5369
"cifar",300,"softplus",20,0.001,0.1,0.5744
"cifar",300,"tanh",10,0.01,0.1,0.5708
"cifar",300,"tanh",10,0.001,0.1,0.5608
"cifar",300,"tanh",20,0.01,0.1,0.5337
"cifar",300,"tanh",20,0.001,0.1,0.5583
"cifar",300,"cos",10,0.01,0.1,0.6322
"cifar",300,"cos",10,0.001,0.1,0.5537
"cifar",300,"cos",20,0.01,0.1,0.5538
"cifar",300,"cos",20,0.001,0.1,0.5193
